"Country Code","IMF Country Code","Country","Indicator Type","Series Name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Note"
"AFG",512,"Afghanistan","Inflation","Headline Consumer Price Inflation",25.5100002288818,25.5100002288818,-12.5200004577637,-10.6800003051758,10.2299995422363,11.8500003814697,0.600000023841858,7.65000009536743,5,9.89999961853027,13.3999996185303,22.2000007629395,18.2000007629395,15.8999996185303,20.3999996185303,8.69999980926514,-2.09999990463257,18.3999996185303,27.5,71.5,47.4000015258789,43.7999992370605,58.189998626709,33.9900016784668,20.0100002288818,14,14.0100002288818,14.0100002288818,14.0100002288818,14.0100002288818,0.00100000004749745,-43.4000015258789,51.9300003051758,35.6629981994629,16.3579998016357,10.5690002441406,6.78000020980835,8.68000030517578,26.4200000762939,-6.80999994277954,2.1800000667572,11.8000001907349,6.44000005722046,7.3899998664856,4.67000007629395,-0.660000026226044,4.38000011444092,4.976,0.63,2.30200004577637,5.44299983978271,5.062,10.6,NA,"Annual average inflation"
"ALB",914,"Albania","Inflation","Headline Consumer Price Inflation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.180000007152557,35.7169990539551,225.996002197266,85.004997253418,22.5650005340576,7.7546067237854,12.7989091873169,33.2121887207031,20.5516815185547,0.402318686246872,0.0250377114862204,3.10465550422668,5.18455743789673,2.37792992591858,2.83008313179016,2.35745286941528,2.4102840423584,2.90794849395752,3.40516996383667,2.29037523269653,3.56525135040283,3.41467833518982,2.02781295776367,1.93474900722504,1.6219470500946,1.91017913818359,1.29123377799988,1.987,2.03,1.41100001335144,1.62088661716951,2.04147163139546,6.72520271530062,5.56522388403341,"Annual average inflation"
"DZA",612,"Algeria","Inflation","Headline Consumer Price Inflation",6.59999990463257,2.62664008140564,3.65631008148193,6.1728401184082,4.69961023330688,8.23031997680664,9.43074035644531,11.9892997741699,17.5238990783691,11.3486003875732,9.66800022125244,14.6099996566772,6.59299993515015,7.83500003814697,6.30999994277954,10.4320001602173,14.0069999694824,5.85699987411499,5.93800020217896,9.17199993133545,9.27200031280518,25.8999996185303,31.7000007629395,20.5,29,29.7999992370605,18.7000007629395,5.69999980926514,4.94999980926514,2.59999990463257,0.300000011920929,4.19999980926514,1.42999994754791,4.25899982452393,3.97199988365173,1.38199996948242,2.30999994277954,3.93131542205811,4.3802285194397,9.36279296875,4.20670032501221,5.73910474777222,9.69816207885742,4.10190773010254,3.87665557861328,4.39166641235352,5.80030393600464,5.591,3.51,1.95200002193451,2.41513094083385,7.22606307415476,9.26551551551551,9.32217375928322,"Annual average inflation"
"AGO",614,"Angola","Inflation","Headline Consumer Price Inflation",7.96999979019165,5.78000020980835,15.8000001907349,15.6700000762939,27.4200000762939,29,80.6999969482422,69.0100021362305,48.4599990844727,101.300003051758,46.7080001831055,1.39100003242493,1.83299994468689,1.83299994468689,1.83299994468689,1.83299994468689,1.83299994468689,1.83299994468689,1.83299994468689,1.83299994468689,1.83299994468689,85.2649993896484,299.096984863281,1379.47595214844,949.77099609375,2672.22998046875,4146.009765625,221.492004394531,107.429000854492,248.248001098633,325.028991699219,152.585998535156,108.892997741699,98.2190017700195,43.5250015258789,22.9610004425049,13.3050003051758,12.2489995956421,12.4650001525879,13.7209997177124,14.4799995422363,13.4840002059937,10.2849998474121,8.7819995880127,7.2979998588562,9.15900039672852,32.3777313232422,29.844,19.63,17.0790004730225,21.0240001678467,23.8461110905251,23.8268185923872,13.6441017767715,"Annual average inflation"
"ATG",311,"Antigua and Barbuda","Inflation","Headline Consumer Price Inflation",8.86999988555908,8.63000011444092,12.6700000762939,21.7199993133545,12.9700002670288,8.60999965667725,15.6199998855591,13.75,6.15000009536743,16.3299999237061,18.9990005493164,11.4650001525879,4.17000007629395,2.34599995613098,3.84400010108948,0.995999991893768,0.5,3.60199999809265,6.80000019073486,4.36199998855591,6.59100008010864,4.51800012588501,3,3.09999990463257,6.4850001335144,2.73699998855591,2.96499991416931,0.361999988555908,3.26200008392334,1.13499999046326,-0.162000000476837,1.93499994277954,2.40799999237061,1.99399995803833,2.02999997138977,2.09899997711182,1.78799998760223,1.41600000858307,5.33400011062622,-0.550000011920929,3.36999988555908,3.45700001716614,3.37700009346008,1.05900001525879,1.08899998664856,0.968999981880188,-0.488999992609024,2.425,1.21,1.47500002384186,1.058,1.627,7.53107834634288,5.06713865364213,"Annual average inflation"
"ARG",213,"Argentina","Inflation","Headline Consumer Price Inflation",13.5868997573853,34.7324981689453,58.4458999633789,61.2490997314453,23.4748992919922,182.927001953125,443.966003417969,176.001998901367,175.514999389648,159.50700378418,100.763999938965,104.475997924805,164.776992797852,343.811004638672,626.718994140625,672.181030273438,90.0966033935547,131.326995849609,342.954986572266,3079.81005859375,2313.9599609375,171.671997070312,24.8999004364014,10.611499786377,4.17735004425049,3.37612009048462,0.155696004629135,0.527257978916168,0.925000011920929,-1.16700005531311,-0.939000010490417,-1.06500005722046,25.8689994812012,13.4429998397827,4.41599988937378,9.64200019836426,10.8979997634888,8.82999992370605,8.58500003814697,6.26999998092651,10.4610004425049,9.77499961853027,10.0430002212524,10.6190004348755,38.0806007385254,26.5384006500244,39.4000015258789,25.675,34.28,53.5480003356934,42.0150947570801,48.40938,72.43076,128.414707711477,"Annual average inflation"
"ARM",911,"Armenia","Inflation","Headline Consumer Price Inflation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731.80004882812,5273.44921875,176.74299621582,18.6529998779297,14.0459995269775,8.67300033569336,0.648000001907349,-0.791000008583069,3.14599990844727,1.78999996185303,4.54300022125244,5.92799997329712,0.717000007629395,3.43300008773804,4.55299997329712,9.01799964904785,3.54399991035461,7.27400016784668,7.65299987792969,2.53999996185303,5.78800010681152,2.98099994659424,3.73099994659424,-1.40600001811981,1.031,2.52,1.442999958992,1.21143577838465,7.18483629443373,8.64091108973845,1.98041877615554,"Annual average inflation"
"ABW",314,"Aruba","Inflation","Headline Consumer Price Inflation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20000004768372,2.99600005149841,1.875,2.27699995040894,4.04899978637695,2.89000010490417,3.3199999332428,3.66000008583069,2.52999997138977,3.40000009536743,3.60999989509583,5.3899998664856,8.96000003814697,-2.14000010490417,2.07999992370605,4.32000017166138,0.629999995231628,-2.36999988555908,0.419999986886978,0.479999989271164,-0.889999985694885,-0.474,3.58,4.25699996948242,1.22200000286102,0.744,5.52,3.366,"Annual average inflation"
"AUS",193,"Australia","Inflation","Headline Consumer Price Inflation",3.44000005722046,6.13810157775879,6.02409267425537,9.09091663360596,15.4166631698608,15.1624555587769,13.3228855133057,12.3098134994507,8.00493335723877,9.12200450897217,10.1358413696289,9.48766803741455,11.3518152236938,10.0389127731323,3.96039628982544,6.734694480896,9.05035209655762,8.53301429748535,7.21594762802124,7.53389739990234,7.33302354812622,3.17667627334595,1.01223015785217,1.75365698337555,1.9696329832077,4.6277642250061,2.61538743972778,0.22488272190094,0.860136687755585,1.48313212394714,4.45743131637573,4.40713262557983,2.98157858848572,2.73259091377258,2.34326410293579,2.69182968139648,3.55528402328491,2.32761549949646,4.35029411315918,1.77111649513245,2.9183464050293,3.30384612083435,1.76277816295624,2.44988894462585,2.48792362213135,1.50836789608002,1.27699279785156,1.972,1.91,1.61000001430511,0.846905537459639,2.82,6.594097,5.5970149253731,"Annual average inflation"
"AUT",122,"Austria","Inflation","Headline Consumer Price Inflation",4.36999988555908,4.70425844192505,6.35514259338379,7.53107929229736,9.52178955078125,8.44526100158691,7.31868648529053,5.49460315704346,3.57432341575623,3.70741271972656,6.32831954956055,6.80303716659546,5.43602609634399,3.33916449546814,5.66318988800049,3.18951511383057,1.70544493198395,1.40195536613464,1.91571891307831,2.56834721565247,3.26187229156494,3.33742547035217,4.02084970474243,3.63178277015686,2.9534056186676,2.24336791038513,1.86097002029419,1.30598568916321,0.92246401309967,0.5689857006073,2.34487199783325,2.64999580383301,1.81036329269409,1.35555219650269,2.06121182441711,2.2991316318512,1.44154834747314,2.16855788230896,3.21594643592834,0.506309509277344,1.81353223323822,3.28658723831177,2.48567032814026,2.00015950202942,1.60580480098724,0.896564722061157,0.891595959663391,2.23,2,1.49000000953674,1.38191063351897,2.766667,8.54687,7.81413417002832,"Annual average inflation"
